transaction_id,sender_account,receiver_account,transaction_type,timestamp,amount,hour_of_day,tx_count_7d,kyc_verified,label
8240ad8c-248e-4d2d-ab98-b21530bb3de1,ACC25795,ACC10860,transfer,2026-03-13T20:38:57,1495.97,13,4,1,0
54d1d782-068d-4337-b558-e677f1a2080d,ACC26023,ACC51090,transfer,2026-09-15T23:43:29,5016.97,10,0,1,0
afe13a63-a883-4767-96b5-336a4c493980,ACC38693,ACC81932,transfer,2026-02-18T09:27:59,15223.37,20,13,1,0
06dedb2b-17a9-41b3-a2ff-4b92d27fc268,ACC66886,ACC76803,payment,2026-05-11T04:50:06,1681.6,9,8,1,0
59d69727-4ac4-470d-96bc-13610eea4499,ACC83969,ACC53001,transfer,2026-02-22T01:19:27,3253.81,18,7,0,0
103533f7-9b94-43db-904e-8bf2dc774084,ACC90077,ACC45920,transfer,2026-12-26T03:01:05,20965.91,18,14,1,0
7e7b1ce2-6f66-4d30-bbbb-a85b24a393ad,ACC81211,ACC75697,transfer,2026-09-27T15:14:07,18392.72,19,7,1,0
fea8fb32-8ea0-4f3a-b2e0-c7d3c5f32778,ACC34300,ACC84065,payment,2026-10-07T12:40:28,1936.9,12,8,1,0
4f373331-10a8-43f7-a8a0-610f256e3673,ACC77563,ACC12695,transfer,2026-05-19T18:16:07,36880.36,10,9,1,0
f00738ca-e3f8-4af4-8509-27afa6decfbb,ACC62251,ACC32662,withdrawal,2026-09-25T01:32:47,27628.94,10,2,1,0
acf04866-9597-478e-a871-0e0b10b87bad,ACC20965,ACC34538,payment,2026-08-15T04:46:13,31979.04,12,14,1,0
be3cb55a-2918-4479-960c-73ae949e5ad9,ACC10206,ACC97054,transfer,2026-06-28T06:48:51,29728.43,10,6,1,0
c67906a1-2d27-4fe8-8023-076b011bb8ef,ACC77214,ACC43827,deposit,2026-11-23T18:21:27,41272.18,14,4,1,0
568cc4af-63c9-45da-b367-4e3c7679688d,ACC79163,ACC35939,withdrawal,2026-11-27T22:27:24,2914.8,14,10,1,0
6b2d77d7-cae9-4125-8107-b45717690bb5,ACC65016,ACC19474,transfer,2026-05-17T04:32:50,6997.0,16,5,1,0
3ff20af8-41d2-4792-820b-facce4c46ab6,ACC78840,ACC64384,transfer,2026-02-21T11:38:01,4006.77,13,0,1,0
58758492-91c5-4db6-b260-5de02ffed045,ACC10854,ACC48623,deposit,2026-05-06T01:52:43,20123.94,12,3,1,0
49fc8d3f-ec43-4707-a1a2-de52fb1a54b8,ACC22688,ACC35342,withdrawal,2026-11-21T19:33:05,42379.24,21,0,1,0
997219ec-ada0-4e75-bb2b-09749e448234,ACC96202,ACC61663,transfer,2026-05-28T03:18:25,6420.6,21,6,1,0
b920ead1-fbb5-4bd6-aa42-e9d447753c35,ACC94896,ACC93879,transfer,2026-12-04T07:00:10,3011.11,12,14,1,0
b5b4ce60-9dfd-4fa8-bcd0-4634ff521725,ACC40306,ACC26646,payment,2026-12-12T15:56:51,6921.93,21,13,1,0
c5d34db0-262f-441b-82b2-2f12bacad036,ACC39855,ACC71434,transfer,2026-08-21T02:18:47,48504.91,11,7,1,0
552a63d4-5ae4-4315-a8bf-f13a01b7a940,ACC39299,ACC22874,deposit,2026-04-14T19:34:47,889465.56,1,2,1,1
7aff7047-776b-4ac9-bfe0-d8a6b00d548f,ACC87505,ACC12869,transfer,2026-06-18T03:32:03,9840.87,9,7,1,0
620205f3-7b32-46ba-820a-62dd5afe48ef,ACC56214,ACC96416,transfer,2026-06-25T11:58:50,7207.45,19,5,1,0
c2d7d490-d9ad-4a0a-ad55-dac96950121b,ACC84290,ACC86213,deposit,2026-01-27T01:20:29,27635.19,6,4,1,0
46b40147-8a79-4e75-9935-7c7f774f86b7,ACC84543,ACC55714,payment,2026-07-11T16:16:43,76939.06,10,5,1,0
1333ae94-e7dd-4da1-83fc-8ab7a6f144b8,ACC73208,ACC43828,deposit,2026-10-29T20:30:34,1958.4,18,4,1,0
04a759a2-488f-4c09-8f31-4689424fa246,ACC60336,ACC95314,transfer,2026-10-08T09:30:53,21102.81,13,1,1,0
b1fb5569-d456-4873-b2b3-ba9f0eaaf2fa,ACC21093,ACC28070,transfer,2026-06-04T09:01:25,29851.86,16,5,1,0
dc919bb8-267a-45b4-a776-9674c36df8cf,ACC64748,ACC15801,withdrawal,2026-12-21T17:24:23,17902.33,14,3,1,0
52be0fc6-bbe5-4416-8633-6f73b3ae7f26,ACC12368,ACC87575,payment,2026-05-22T11:50:22,818796.29,22,7,1,1
5a70ad88-16bb-443d-be15-9b1d06a5249c,ACC62921,ACC59726,deposit,2026-05-30T21:48:51,550825.08,0,5,1,1
b37fd1c2-fabb-4686-b655-cf663185483a,ACC13051,ACC58747,payment,2026-07-15T05:44:31,19447.76,12,7,1,0
834af7d3-83a8-40e6-97f7-140055173b03,ACC27019,ACC93613,transfer,2026-04-30T18:27:57,10032.35,19,43,1,1
6eb13961-bf4f-4099-8dc5-ff5beca56f05,ACC11150,ACC99480,payment,2026-05-09T00:46:33,2464.4,14,7,1,0
58e2d98c-69a4-43b4-93d1-6100ef47be54,ACC13343,ACC23500,payment,2026-03-10T21:28:54,871194.18,4,6,1,1
719a3a9f-847f-4855-8675-2b2d61553eee,ACC94664,ACC71389,transfer,2026-02-16T16:29:45,4819.31,21,9,1,0
a41a3079-88ff-45a7-802c-186f31b97f4f,ACC72752,ACC66573,transfer,2026-01-23T09:53:04,7557.84,15,9,1,0
a3adae4a-b2a1-48a4-89c1-776e39e49c73,ACC19823,ACC70160,payment,2026-01-04T15:23:15,671.73,21,10,1,0
dd2398bb-3606-4905-854b-ca5efcf78008,ACC69275,ACC82369,payment,2026-02-02T00:50:42,12198.19,6,7,1,0
7d2277bc-eabf-4832-a55b-4d9c195f166f,ACC99643,ACC30764,transfer,2026-04-05T13:01:50,10257.7,15,7,1,0
42b1bae5-90fc-44ff-82aa-62dccd142bc4,ACC25305,ACC85353,transfer,2026-04-25T08:06:03,10705.68,16,12,0,0
37b668c4-ef0f-4dab-aa7f-e7a473033ae9,ACC43496,ACC70692,deposit,2026-06-13T09:36:08,21446.1,8,3,1,0
aa30c6ac-8b7c-4575-9b10-66b89ea9932a,ACC75510,ACC44911,transfer,2026-07-09T04:11:48,33668.07,8,8,1,0
888d376b-5240-4204-ac65-17b28fc0e6dc,ACC24397,ACC51555,withdrawal,2026-12-08T12:58:18,272.42,14,2,1,0
aa7bc0ba-8907-4b05-9b4f-b74bf7c0af27,ACC45270,ACC69163,deposit,2026-02-21T18:57:46,15367.33,14,41,1,1
43639c80-6fa5-4c73-a7d6-d1c735882401,ACC70566,ACC76703,payment,2026-04-19T20:41:57,888305.66,22,5,1,1
7ae1d909-07c3-4641-a5ed-636f4d3eee4b,ACC99930,ACC16801,deposit,2026-01-09T09:57:43,45578.28,19,12,1,0
12c23e10-b786-4604-be83-123c6ee252c8,ACC72856,ACC98858,payment,2026-01-05T04:37:18,49719.65,11,3,1,0
040fcc10-f2fd-4f2c-8d06-699b54eb2e91,ACC50262,ACC47080,payment,2026-10-19T05:59:30,11869.88,12,10,1,0
ad5d1ee7-1e01-442b-b8db-2631046720d1,ACC25485,ACC54482,transfer,2026-08-30T19:27:07,2488423.31,2,9,1,1
c5bfebee-adc6-4a83-9289-ec1f9451be91,ACC38016,ACC33960,withdrawal,2026-04-27T05:57:43,20298.55,20,4,0,0
13fbf80d-f496-4977-af52-fa87f6b2da80,ACC71642,ACC86539,transfer,2026-08-15T18:19:56,24815.71,19,14,1,0
1b7dc75d-cd7e-400e-8312-65915c23fc7e,ACC78866,ACC29087,payment,2026-01-12T09:31:15,15204.38,17,4,1,0
997b650b-2309-4328-9664-d2221998137a,ACC56427,ACC71529,transfer,2026-11-12T17:27:27,7525.93,16,5,0,0
d72c3214-4836-4bcd-9b9b-305dfde795fa,ACC48088,ACC88752,transfer,2026-08-08T15:28:12,43224.86,7,2,1,0
a7e3c57e-44e8-4e75-8b61-b23d87467297,ACC60990,ACC85672,transfer,2026-11-08T17:58:44,13244.06,11,0,1,0
201e5700-d10d-40d0-8b5a-133ec5e8e841,ACC72292,ACC33833,transfer,2026-12-08T16:12:32,13395.87,6,4,1,0
dbbdc752-5b41-4ef0-a5c2-aa18493cd1c5,ACC39189,ACC22763,withdrawal,2026-12-17T04:37:02,36632.08,10,9,1,0
cbbfd723-9af0-4dd5-9f69-c0fa8734115c,ACC23456,ACC66397,transfer,2026-01-01T18:44:12,52638.62,13,1,1,0
270325ca-406c-4436-b895-6c1f7b11148d,ACC17239,ACC24489,transfer,2026-04-28T02:58:49,20068.85,10,13,1,0
bd5473b7-5799-4e3d-8276-9ee4ae18b0b9,ACC52808,ACC98464,transfer,2026-10-30T22:14:36,30441.63,8,6,1,0
d669745c-db26-4047-b430-1548c4f1fac9,ACC88587,ACC16949,payment,2026-12-04T14:26:50,10702.57,11,0,1,0
de8cbc1b-df2d-44a8-9725-55390ba98cdd,ACC80173,ACC80390,payment,2026-03-22T04:28:03,46143.47,6,11,1,0
87d64d2f-d56c-4460-8ef4-129759aafdd4,ACC83477,ACC24388,transfer,2026-05-06T10:42:47,19264.93,12,6,1,0
b48c90c5-67e0-4025-a4ea-e6283f09692d,ACC16090,ACC21637,payment,2026-12-26T03:55:24,16059.53,18,1,1,0
7b4ccccb-6abb-4a70-be2d-989039a440c3,ACC21314,ACC33954,withdrawal,2026-04-02T09:21:20,19111.97,17,9,1,0
d5070cbc-164b-4c3a-aa0c-9d09b8b7cabd,ACC91818,ACC33624,transfer,2026-02-16T21:46:55,63417.34,18,0,1,0
872f0762-117e-487a-a56b-4f9125196940,ACC89104,ACC69399,payment,2026-09-10T19:14:46,16566.56,15,11,1,0
711b7a1d-a316-47e8-875a-0b1f157de62f,ACC54247,ACC26748,transfer,2026-07-06T23:50:06,46518.2,16,14,0,0
e5f26f8c-5fa7-4cf4-bfe9-da7272036408,ACC98869,ACC44674,transfer,2026-04-29T04:27:09,45925.72,11,9,1,0
9f82a354-fe00-46c7-aa04-2cb138e3c1fb,ACC14632,ACC13596,payment,2026-03-09T09:02:40,2273.3,20,5,1,0
defb4b77-8941-4a66-a60b-ef39d53197eb,ACC83479,ACC87735,transfer,2026-03-24T09:40:36,25955.62,7,10,1,0
94a39e83-748e-4a38-8cbf-5648cd14dc5e,ACC27260,ACC13812,deposit,2026-05-30T20:05:05,4379.12,16,13,1,0
f3b2aa03-a842-4564-bf12-79d7035f6ebf,ACC23918,ACC95655,withdrawal,2026-09-04T02:50:30,100966.05,20,5,1,0
1cffd0ae-1434-48e6-93c1-c1f425249af0,ACC89579,ACC38746,withdrawal,2026-05-14T21:48:29,27613.99,14,1,1,0
eb51da23-5a25-4b22-92ee-48cddf21e480,ACC89239,ACC56514,withdrawal,2026-05-13T05:25:53,5563.19,9,0,1,0
4d37a645-329e-4405-b941-0d6adb014f87,ACC77584,ACC88477,transfer,2026-10-20T10:35:12,1330.37,7,7,1,0
de8d3812-a176-4a47-8feb-bd09e4ce5d49,ACC97958,ACC19865,deposit,2026-01-13T07:01:19,28603.53,6,8,1,0
801185bb-c7c6-47e5-a4ec-ad911f98f280,ACC89767,ACC36614,payment,2026-04-05T16:04:59,3318.21,13,10,1,0
1f61738a-f744-4ab3-84c5-8044dceb0134,ACC94555,ACC83698,transfer,2026-10-23T21:59:28,2501003.85,2,5,1,1
b871691a-6b26-40cb-8531-c8a95510159c,ACC25524,ACC29282,payment,2026-03-03T03:24:44,28719.92,13,6,1,0
f596bddf-69f9-4219-bc8a-b056771a047e,ACC49711,ACC21954,payment,2026-12-19T22:14:32,57458.5,12,1,1,0
5ecc9f2a-7854-4fbe-a15b-d1d102186025,ACC46455,ACC14018,payment,2026-07-17T05:02:06,29581.19,9,14,1,0
63716fda-b338-4838-b021-4f48a7617669,ACC15408,ACC69379,payment,2026-06-06T05:56:32,37691.44,6,13,1,0
1d339f02-b580-44a8-ae29-1b164b0bc2ba,ACC69201,ACC42265,transfer,2026-11-26T00:53:37,11903.42,18,7,1,0
c1572418-7246-4fed-9e82-5a3ab9b7e53f,ACC30103,ACC74772,transfer,2026-11-20T11:44:01,777579.68,3,2,1,1
8a87edfb-6497-4623-8e7d-8b1f5aff9c70,ACC81315,ACC87834,deposit,2026-12-26T05:05:07,8489.46,16,11,1,0
f5bd2b06-fdc3-4057-8ace-e29287bee090,ACC83319,ACC27368,transfer,2026-04-14T10:11:43,29821.77,13,4,1,0
ad3b249f-81a2-430b-8ae4-e11ba5fef86d,ACC62329,ACC37632,payment,2026-02-20T13:39:40,14984.11,19,4,1,0
558a1222-269e-441f-8ae5-72a8d9d71308,ACC11645,ACC57523,transfer,2026-11-09T00:53:54,23405.6,20,8,1,0
08436978-7441-4d08-9ba8-c84c34b09272,ACC67545,ACC49224,transfer,2026-10-18T19:24:25,10629.43,7,10,1,0
75c680bd-591a-4a6d-92f8-07fb91b7718c,ACC46368,ACC16783,transfer,2026-12-30T18:53:23,4523.46,10,7,1,0
6e3eea58-141d-40b9-9f6d-05e2e057b97f,ACC47148,ACC14757,transfer,2026-02-18T06:16:19,20371.88,11,11,1,0
76eb41f9-343a-4c6a-a1f5-44fd8f7d8cdd,ACC72823,ACC30806,payment,2026-05-21T22:50:58,10746.01,19,12,1,0
fb262c5b-45a6-4967-a0cc-41b5fa22b2c4,ACC52460,ACC82847,payment,2026-01-18T00:13:50,18578.94,17,0,1,0
5aa3db73-d6e2-4af3-b8d1-cf6df3a395ca,ACC48565,ACC35522,transfer,2026-09-21T22:38:02,7893.28,19,1,1,0
414debd3-969c-48f7-aaa0-a897cf101110,ACC91974,ACC36399,payment,2026-12-15T07:00:56,6569.04,16,14,0,0
939d9c46-52c6-4b47-9330-7092525122dc,ACC66373,ACC41480,payment,2026-03-08T18:32:27,2618.5,21,7,1,0
c83db37e-b9be-46a7-9c88-d467c7be757f,ACC70535,ACC94458,deposit,2026-06-14T21:20:13,56664.97,12,9,1,0
8a7a044e-d722-45ff-bc72-01376355213a,ACC12198,ACC70500,transfer,2026-02-05T17:01:00,10456.82,15,14,1,0
c6b9466f-b375-4231-8afa-50bf0f5bd560,ACC86918,ACC24596,transfer,2026-09-13T08:33:52,74131.68,11,11,1,0
37a18b73-0ece-468d-805f-87b9cc9c58ed,ACC58285,ACC29063,deposit,2026-08-03T16:49:50,33839.58,7,12,1,0
a9ade137-e1c7-4923-88cf-65406770e6e2,ACC33752,ACC65029,payment,2026-01-04T12:33:22,43231.43,21,4,1,0
cbcdfe28-bdeb-4b42-9d68-bb53461fb246,ACC67384,ACC41653,transfer,2026-06-14T05:57:11,276.42,10,10,1,0
81a86c90-6f99-4c46-8fff-871d7d3445a1,ACC92565,ACC39402,payment,2026-09-25T12:56:52,61455.24,15,4,1,0
cbe4acca-9e4f-4881-a698-26c7f9491e3a,ACC46397,ACC96145,transfer,2026-12-29T00:50:52,7037.5,10,10,1,0
36bc3fef-26e2-472f-b549-7e0d9a32c27b,ACC99599,ACC82355,payment,2026-10-22T07:34:53,27241.65,11,5,1,0
3bd8839d-57ed-42cb-be8f-e1599c5c06eb,ACC31792,ACC69129,transfer,2026-05-28T18:34:51,738737.54,1,1,1,1
0aee15ac-8b4f-48b4-90bf-95b5afb95072,ACC42921,ACC11524,transfer,2026-10-23T16:00:24,22800.38,14,6,1,0
28e4f8f6-d013-4603-b68c-79c2a47826eb,ACC38145,ACC44020,transfer,2026-04-12T01:11:18,41182.42,6,12,1,0
7aa5c7d9-1ce4-41b4-b0b2-3ac3ba56904c,ACC46408,ACC67134,transfer,2026-03-21T23:18:07,35577.68,10,5,1,0
1fdb41d5-aca1-46ef-bf5d-77ddc7955fba,ACC80855,ACC25896,deposit,2026-09-25T14:58:25,807885.32,9,7,1,1
d9f5267d-513c-40f1-b405-b916c3661f92,ACC22182,ACC97833,payment,2026-09-07T06:13:14,8822.37,21,7,1,0
f060b81d-f886-4ca8-bbeb-20dfc78fc4d5,ACC16737,ACC46062,withdrawal,2026-04-13T16:13:30,20563.02,18,1,1,0
33b98c3c-6a44-4d24-b97b-8eb22a618857,ACC12983,ACC30662,transfer,2026-02-08T14:55:48,27092.24,18,1,1,0
d474e112-ac57-4abc-ae6f-2596f4c941f0,ACC89273,ACC84859,transfer,2026-11-07T02:41:33,26917.92,21,52,1,1
21d6e639-df73-4d61-90b5-8681f11d3d18,ACC79346,ACC49974,transfer,2026-01-29T16:28:52,21732.63,17,14,1,0
96781922-679e-46ca-b89f-2c7abf5c4d51,ACC60072,ACC34574,transfer,2026-03-06T16:02:44,8465.23,9,1,1,0
9692e178-c7f9-4326-98a1-558ba867087c,ACC50600,ACC67775,transfer,2026-03-14T14:48:56,6155.63,15,4,1,0
979a8e4a-77ce-40de-abd3-fde4a8cd132d,ACC47573,ACC10806,withdrawal,2026-10-29T23:10:12,34001.32,9,10,1,0
a31b3633-c019-472f-9d03-96dfa9bd0c17,ACC91470,ACC48197,payment,2026-11-26T10:33:56,5158.34,8,7,1,0
76961f3f-d1f4-4a3d-bd4d-3760f04388db,ACC60948,ACC83781,deposit,2026-06-26T08:34:19,4775.84,15,2,1,0
11507494-f12d-4482-83b8-ebb3d718c31e,ACC36685,ACC34578,withdrawal,2026-09-26T23:46:24,21692.65,7,10,1,0
22ea5637-9271-478b-9969-efd1ef7976c5,ACC33874,ACC53642,transfer,2026-05-17T02:24:33,41454.69,13,8,1,0
3027c7b8-65fc-4dbf-8588-9133279f89e6,ACC60106,ACC91121,transfer,2026-02-07T07:58:04,816209.16,15,5,1,1
ed8ea2b0-7b98-49c8-b21f-c60780741dcf,ACC51755,ACC95956,deposit,2026-04-24T07:44:31,59248.51,8,7,1,0
19358a8a-38ee-4fab-a6ed-8932afa15f66,ACC81719,ACC96231,payment,2026-06-17T00:58:58,10161.97,18,8,1,0
7af147db-4c04-4d8b-975b-731954e1e90a,ACC96206,ACC79274,payment,2026-01-07T04:42:44,742.09,12,9,1,0
9ab4eede-30c2-443a-b44f-0475a8bc206b,ACC32890,ACC87236,payment,2026-03-23T03:01:13,7483.35,7,12,1,0
7576725e-dd8b-45c5-9b10-435988c1d77a,ACC76672,ACC44832,transfer,2026-12-20T23:44:34,804411.4,1,1,1,1
6d6b1216-52e9-4044-bd58-7ec678f5b2dd,ACC52207,ACC23281,transfer,2026-03-01T14:29:36,110814.54,9,2,0,1
9e3756fe-e1bb-4a4e-9d53-ad227ceb37d2,ACC17491,ACC60192,payment,2026-07-12T21:25:55,998028.68,14,5,1,1
d6b2ddea-45f4-40f4-887f-e0e428571a70,ACC31195,ACC87475,payment,2026-01-07T10:32:05,42701.87,16,9,0,0
6c6d68f2-df42-45b3-87c2-cbaef9035d2e,ACC21745,ACC36029,transfer,2026-01-04T16:34:12,18717.77,18,12,1,0
fcf9d2b3-8457-4d24-a802-216cb4b35be7,ACC60975,ACC70545,payment,2026-03-25T21:10:26,82581.35,13,11,1,0
69ec8910-714e-42dd-975c-a867bea9fc6e,ACC49214,ACC91871,withdrawal,2026-03-25T05:18:56,9347.42,15,11,1,0
cd98a1db-3fa8-4c94-93e6-b8223275ca54,ACC86961,ACC11980,transfer,2026-10-08T23:11:17,16023.83,13,11,1,0
03d71644-abe9-4df0-8147-8152d31a2d65,ACC15776,ACC46444,payment,2026-03-20T13:49:51,7431.0,10,44,1,1
24f23c8d-cdc2-4c3b-9a33-206cb38a29de,ACC54859,ACC63625,payment,2026-02-15T14:24:29,2214612.9,19,4,1,1
f730b9d2-3f09-4869-94a3-a3d02d889df8,ACC18712,ACC75455,transfer,2026-11-15T21:53:52,39932.68,16,12,1,0
59c3ee8e-002b-41e5-9449-f2f673b6aec1,ACC36589,ACC40015,transfer,2026-04-05T05:31:10,49174.69,11,8,0,0
836b8b90-ad87-422f-8d05-3aba5918df50,ACC42981,ACC79298,transfer,2026-03-17T13:31:14,24068.56,9,0,1,0
edde2efe-779c-4a10-86a8-d87ba7781cf0,ACC32431,ACC71681,transfer,2026-01-02T00:32:40,844.17,9,9,1,0
fc0ddf69-f5cd-456d-9195-57e04457821a,ACC91061,ACC33398,transfer,2026-05-02T17:14:33,86599.64,16,1,0,1
b8873133-2068-4e0b-b1e3-9b036f640878,ACC59786,ACC11925,payment,2026-03-14T06:30:31,68411.94,13,1,1,0
64797d7c-7a4a-41e6-8991-4e1b2b3a8171,ACC35683,ACC23629,payment,2026-01-07T10:19:15,42497.44,15,14,1,0
539c4533-fdf1-4e73-8880-464031dfcb8b,ACC31288,ACC46877,transfer,2026-01-12T22:11:12,23911.03,8,6,1,0
fff60a27-6748-4d27-942f-7e4348755da1,ACC80316,ACC93847,withdrawal,2026-11-05T22:31:50,527.05,8,5,1,0
660ac6aa-baf7-4907-9ae7-054200d29c26,ACC12920,ACC70315,transfer,2026-02-04T21:14:32,4784.86,10,14,1,0
4c32ed36-08c0-4bf5-976e-562cacd06395,ACC84131,ACC57908,transfer,2026-12-30T19:59:23,18038.45,14,3,0,0
36c713cd-3761-40bd-9ae7-4783868b3a84,ACC41585,ACC32015,payment,2026-12-01T01:35:05,121127.97,15,5,1,0
03870a47-988a-4c58-9e04-229341f1229e,ACC58364,ACC94878,transfer,2026-10-09T07:35:47,25028.56,19,13,1,0
8be73b04-8253-4512-b2a5-7a656d0d2a66,ACC36916,ACC74324,transfer,2026-02-10T21:59:46,21652.71,9,1,1,0
43e90063-8bf1-4821-9800-bec3f20918c2,ACC71272,ACC77649,withdrawal,2026-09-18T00:39:11,12614.36,20,31,1,1
c8609ec5-c7c0-487c-932b-a885333a44d3,ACC62233,ACC54738,transfer,2026-03-21T09:28:09,3938.48,10,3,1,0
46a6cea5-604d-4c14-9b32-b83cb240133f,ACC33499,ACC98576,transfer,2026-10-11T10:36:46,16091.35,6,7,1,0
6b911a72-01ac-42bb-a172-0b13f79a76b5,ACC93310,ACC77278,payment,2026-09-08T19:49:13,46893.68,18,21,1,1
1541ccfc-6c3a-4c3a-8535-22c24af79cf3,ACC49030,ACC11058,transfer,2026-09-02T04:32:48,29135.46,9,4,1,0
01e4b0c8-3632-410a-a91e-0f93e2e99610,ACC75661,ACC55272,payment,2026-07-04T06:30:55,16777.14,17,5,1,0
9a9e5f1d-fd52-4c46-95d7-a0d6558f6a8f,ACC32911,ACC42556,transfer,2026-08-22T22:07:49,32810.25,18,5,1,0
b667db32-8676-4d5c-893d-0c71a10b58e3,ACC58320,ACC57414,deposit,2026-04-24T17:16:25,21134.73,17,10,1,0
600b8ffd-19fe-4c9f-9ee3-564747a87d6b,ACC64061,ACC40659,payment,2026-05-27T15:13:52,21520.53,19,11,1,0
cd454f9c-c2f6-4ecb-91b9-e2528c5209ab,ACC27087,ACC15704,withdrawal,2026-03-30T15:12:08,1218219.26,1,6,1,1
e2fe6755-acdc-421c-8124-c16c6617f727,ACC39165,ACC77203,payment,2026-03-23T12:40:22,42570.95,13,13,1,0
470c16ab-3c6a-4595-97df-7ab0d2afc405,ACC61924,ACC13726,payment,2026-07-18T14:20:18,14886.61,6,0,1,0
484c0ece-2370-492c-9a8c-4a281a189bb2,ACC89973,ACC73449,payment,2026-04-20T13:09:01,11942.26,15,7,1,0
8e996c00-1412-456d-8c86-1eefb38d72ba,ACC41348,ACC74732,transfer,2026-01-12T04:33:47,19067.93,20,10,1,0
d7263576-7124-4c58-88e3-0eca4b5abb99,ACC91709,ACC69889,payment,2026-01-21T22:42:54,1848.71,20,8,1,0
77aa2570-691b-4928-9b6b-94a2603b7d54,ACC46914,ACC55379,deposit,2026-10-02T01:13:03,8382.37,16,12,1,0
5ea45357-9903-4271-98a0-ab51f826008e,ACC41010,ACC64691,payment,2026-01-02T16:12:03,18478.79,12,14,1,0
2029cb60-788d-412c-9031-7a0c3e383e2e,ACC39734,ACC82588,transfer,2026-11-08T16:41:41,13814.09,11,6,1,0
bef05c5e-634c-4690-8185-4cbc6f58c933,ACC31675,ACC81031,payment,2026-02-16T12:54:21,53898.66,14,9,1,0
14016285-7998-4d99-a236-b2204fb0077e,ACC91929,ACC86153,transfer,2026-06-19T07:23:15,7380.93,9,1,1,0
e11ee6c9-480b-476c-94a9-74f57ac6ea28,ACC46451,ACC17227,payment,2026-12-11T17:18:35,830596.61,16,3,1,1
f2b9f19e-6b1f-40c4-be0e-7fff60cf1808,ACC27633,ACC27014,payment,2026-05-30T15:36:14,5772.66,16,9,1,0
e4c61b3a-d2de-4c9d-9e9e-5500268f166c,ACC67784,ACC17421,transfer,2026-11-16T02:06:20,14617.05,18,6,1,0
df3c3330-0ea5-4a70-9ae9-d442820fe3d3,ACC65754,ACC72438,transfer,2026-10-29T18:03:25,58985.45,18,13,1,0
52cd4457-8b9e-4f56-a62c-39b1ac00f812,ACC83379,ACC24210,transfer,2026-12-19T05:40:38,2663726.23,4,5,1,1
bb99fe4d-1226-4f0e-b090-5fbb4b91bbfa,ACC66549,ACC44503,payment,2026-10-27T02:21:05,281644.05,6,3,0,1
19529537-8c06-42ff-be9d-3dbf49f6f863,ACC19686,ACC63363,transfer,2026-10-27T03:04:12,35145.88,12,9,1,0
cc341002-2397-471b-a760-1633c59b20a9,ACC78619,ACC39328,transfer,2026-05-16T19:02:15,3190.98,8,7,0,0
33c4614b-6cf5-4d22-957d-2e6b17e37d2c,ACC72711,ACC51323,transfer,2026-10-13T20:19:05,38767.67,21,0,1,0
f40249a4-8daf-486f-8fc6-b8165f835d80,ACC20699,ACC75061,transfer,2026-05-22T03:32:22,11162.51,10,1,1,0
9e967ad4-50d6-47cf-a8b1-deb12c9311c5,ACC94416,ACC65114,withdrawal,2026-07-09T22:25:03,4411.4,11,10,1,0
537b1d72-b0d5-40a3-af6b-287168ddda5c,ACC80971,ACC74612,transfer,2026-01-12T14:48:41,24718.18,19,7,1,0
6fe4f82f-04c2-47bf-b86c-b9c522595586,ACC83165,ACC83861,transfer,2026-01-07T19:13:08,579.0,16,1,1,0
608a38d7-7a3e-4c21-a29b-254dc2d132f5,ACC82909,ACC65249,payment,2026-01-25T01:24:53,23308.66,6,13,1,0
8874f262-80f2-40f4-959f-0351e5cd5861,ACC83965,ACC24716,transfer,2026-01-25T12:52:33,901221.0,14,4,1,1
0ba4a8b2-4e46-4a52-9a27-5f2396da3d16,ACC50108,ACC99099,deposit,2026-04-06T12:30:13,8134.69,20,5,0,0
